c_pc	County Name	Precinct Name	Precinct Code	Region Name	Media Market	Registered Voters	Total Voters	Turnout Percentage
ATHENS_ACK	Athens	TROY WEST	ACK	Southeast	Columbus	555	364	0.655855856
ATHENS_ACL	Athens	NEW MARSHFIELD	ACL	Southeast	Columbus	720	538	0.747222222
ATHENS_ACM	Athens	WATERLOO	ACM	Southeast	Columbus	850	572	0.672941176
ATHENS_ACO	Athens	BUCHTEL VLG	ACO	Southeast	Columbus	337	246	0.729970326
ATHENS_ACP	Athens	YORK TOWNSHIP	ACP	Southeast	Columbus	1153	810	0.702515178
ATHENS_ACR	Athens	ATHENS 2-5	ACR	Southeast	Columbus	1248	694	0.556089744
ATHENS_ACS	Athens	ATHENS 4-5	ACS	Southeast	Columbus	1557	912	0.585741811
AUGLAIZE_AAA	Auglaize	PRECINCT ST. MARYS 1A	AAA	West	Lima	912	631	0.691885965
AUGLAIZE_AAB	Auglaize	PRECINCT ST. MARYS 1B	AAB	West	Lima	591	410	0.693739425
AUGLAIZE_AAC	Auglaize	PRECINCT ST. MARYS 2A	AAC	West	Lima	690	509	0.737681159
AUGLAIZE_AAD	Auglaize	PRECINCT ST. MARYS 2B	AAD	West	Lima	1077	806	0.748375116
AUGLAIZE_AAE	Auglaize	PRECINCT ST. MARYS 3A	AAE	West	Lima	1161	772	0.664944014
AUGLAIZE_AAF	Auglaize	PRECINCT ST. MARYS 4A	AAF	West	Lima	929	520	0.559741658
AUGLAIZE_AAG	Auglaize	PRECINCT WAPAKONETA 1A	AAG	West	Lima	1126	888	0.788632327
AUGLAIZE_AAH	Auglaize	PRECINCT WAPAKONETA 1B	AAH	West	Lima	1018	784	0.770137525
AUGLAIZE_AAI	Auglaize	PRECINCT WAPAKONETA 2A	AAI	West	Lima	640	427	0.6671875
AUGLAIZE_AAJ	Auglaize	PRECINCT WAPAKONETA 2B	AAJ	West	Lima	791	577	0.729456384
AUGLAIZE_AAK	Auglaize	PRECINCT WAPAKONETA 3A	AAK	West	Lima	640	373	0.5828125
AUGLAIZE_AAL	Auglaize	PRECINCT WAPAKONETA 3B	AAL	West	Lima	629	435	0.691573927
AUGLAIZE_AAM	Auglaize	PRECINCT WAPAKONETA 4A	AAM	West	Lima	512	340	0.6640625
AUGLAIZE_AAN	Auglaize	PRECINCT WAPAKONETA 4B	AAN	West	Lima	1031	709	0.687681862
AUGLAIZE_AAO	Auglaize	PRECINCT CLAY	AAO	West	Lima	563	447	0.793960924
AUGLAIZE_AAP	Auglaize	PRECINCT DUCHOUQUET E	AAP	West	Lima	1202	883	0.734608985
AUGLAIZE_AAR	Auglaize	PRECINCT DUCHOUQUET W	AAR	West	Lima	884	718	0.812217195
AUGLAIZE_AAS	Auglaize	PRECINCT CRIDERS E	AAS	West	Lima	537	353	0.65735568
AUGLAIZE_AAU	Auglaize	PRECINCT GERMAN	AAU	West	Lima	619	505	0.815831987
AUGLAIZE_AAV	Auglaize	PRECINCT NEW BREMEN E	AAV	West	Lima	1271	1064	0.837136113
AUGLAIZE_AAW	Auglaize	PRECINCT NEW BREMEN W	AAW	West	Lima	878	682	0.776765376
AUGLAIZE_AAX	Auglaize	PRECINCT GOSHEN	AAX	West	Lima	343	279	0.813411079
AUGLAIZE_AAY	Auglaize	PRECINCT JACKSON	AAY	West	Lima	621	541	0.871175523
AUGLAIZE_AAZ	Auglaize	PRECINCT MINSTER N	AAZ	West	Lima	1146	933	0.814136126
AUGLAIZE_ABA	Auglaize	PRECINCT MINSTER S	ABA	West	Lima	997	848	0.850551655
AUGLAIZE_ABB	Auglaize	PRECINCT BUCKLAND	ABB	West	Lima	164	121	0.737804878
AUGLAIZE_ABC	Auglaize	PRECINCT LOGAN	ABC	West	Lima	656	544	0.829268293
AUGLAIZE_ABD	Auglaize	PRECINCT MOULTON	ABD	West	Lima	1249	1025	0.820656525
AUGLAIZE_ABF	Auglaize	PRECINCT NOBLE	ABF	West	Lima	890	735	0.825842697
AUGLAIZE_ABG	Auglaize	PRECINCT PUSHETA	ABG	West	Lima	910	753	0.827472527
AUGLAIZE_ABH	Auglaize	PRECINCT ST. MARYS E	ABH	West	Lima	1079	871	0.807228916
AUGLAIZE_ABJ	Auglaize	PRECINCT ST. MARYS W	ABJ	West	Lima	1253	880	0.702314445
AUGLAIZE_ABK	Auglaize	PRECINCT SALEM	ABK	West	Lima	327	253	0.773700306
AUGLAIZE_ABL	Auglaize	PRECINCT UNION	ABL	West	Lima	1280	1031	0.80546875
AUGLAIZE_ABN	Auglaize	PRECINCT NEW KNOXVILLE	ABN	West	Lima	599	467	0.779632721
AUGLAIZE_ABO	Auglaize	PRECINCT WASHINGTON	ABO	West	Lima	739	619	0.837618403
AUGLAIZE_ABP	Auglaize	PRECINCT WAYNE	ABP	West	Lima	540	442	0.818518519
AUGLAIZE_ABQ	Auglaize	PRECINCT WAYNESFIELD	ABQ	West	Lima	479	309	0.645093946
AUGLAIZE_ABR	Auglaize	PRECINCT CRIDERS W	ABR	West	Lima	693	535	0.772005772
BELMONT_AAA	Belmont	PRECINCT BELLAIRE VILLAGE 1	AAA	Southeast	Wheeling	992	609	0.61391129
BELMONT_AAB	Belmont	PRECINCT BELLAIRE VILLAGE 2	AAB	Southeast	Wheeling	991	439	0.442986882
BELMONT_AAE	Belmont	PRECINCT BELLAIRE VILLAGE 3	AAE	Southeast	Wheeling	855	394	0.460818713
BELMONT_AAF	Belmont	PRECINCT MARTINS FERRY 1-A	AAF	Southeast	Wheeling	1178	753	0.639219015
BELMONT_AAH	Belmont	PRECINCT MARTINS FERRY 2-A	AAH	Southeast	Wheeling	1291	706	0.546862897
BELMONT_AAJ	Belmont	PRECINCT MARTINS FERRY 3-A	AAJ	Southeast	Wheeling	380	187	0.492105263
BELMONT_AAK	Belmont	PRECINCT MARTINS FERRY 3-B	AAK	Southeast	Wheeling	532	350	0.657894737
BELMONT_AAL	Belmont	PRECINCT MARTINS FERRY 4-A	AAL	Southeast	Wheeling	1142	538	0.471103327
BELMONT_AAN	Belmont	PRECINCT ST CLAIRSVILLE 1-A	AAN	Southeast	Wheeling	672	531	0.790178571
BELMONT_AAO	Belmont	PRECINCT ST CLAIRSVILLE 2-A	AAO	Southeast	Wheeling	554	373	0.673285199
BELMONT_AAP	Belmont	PRECINCT ST CLAIRSVILLE 2-B	AAP	Southeast	Wheeling	798	599	0.750626566
BELMONT_AAQ	Belmont	PRECINCT ST CLAIRSVILLE 3-A	AAQ	Southeast	Wheeling	459	346	0.753812636
BELMONT_AAR	Belmont	PRECINCT ST CLAIRSVILLE 3-B	AAR	Southeast	Wheeling	600	429	0.715
BELMONT_AAS	Belmont	PRECINCT ST CLAIRSVILLE 4-A	AAS	Southeast	Wheeling	500	333	0.666
BELMONT_AAT	Belmont	PRECINCT ST CLAIRSVILLE 4-B	AAT	Southeast	Wheeling	503	357	0.709741551
BELMONT_AAU	Belmont	PRECINCT COLERAIN TWP 2	AAU	Southeast	Wheeling	340	244	0.717647059
BELMONT_AAV	Belmont	PRECINCT COLERAIN TWP 1	AAV	Southeast	Wheeling	302	223	0.738410596
BELMONT_AAW	Belmont	PRECINCT COLERAIN TWP 3	AAW	Southeast	Wheeling	856	664	0.775700935
BELMONT_AAX	Belmont	PRECINCT COLERAIN TWP 4	AAX	Southeast	Wheeling	548	392	0.715328467
BELMONT_AAY	Belmont	PRECINCT COLERAIN TWP 5	AAY	Southeast	Wheeling	512	384	0.75
BELMONT_AAZ	Belmont	PRECINCT COLERAIN TWP 6	AAZ	Southeast	Wheeling	478	303	0.633891213
